city,lat,lng
Bratislava,48.1447,17.1128
Košice,48.7167,21.2500
Petržalka,48.1333,17.1167
Prešov,49.0000,21.2333
Žilina,49.2167,18.7333
Banská Bystrica,48.7353,19.1453
Nitra,48.3147,18.0875
Trnava,48.3777,17.5862
Trenčín,48.8942,18.0406
Martin,49.0636,18.9214
Poprad,49.0500,20.3000
Prievidza,48.7714,18.6242
Zvolen,48.5831,19.1331
Považská Bystrica,49.1167,18.4500
Michalovce,48.7575,21.9183
Nové Zámky,47.9831,18.1728
Spišská Nová Ves,48.9500,20.5667
Komárno,47.7633,18.1283
Humenné,48.9306,21.9122
Levice,48.2136,18.6069
Liptovský Mikuláš,49.0811,19.6181
Bardejov,49.2950,21.2758
Lučenec,48.3314,19.6708
Piešťany,48.5833,17.8333
Ružomberok,49.0786,19.3083
Topoľčany,48.5500,18.1833
Trebišov,48.6333,21.7167
Čadca,49.4386,18.7883
Dubnica nad Váhom,48.9575,18.1658
Rimavská Sobota,48.3814,20.0200
Pezinok,48.2667,17.2667
Partizánske,48.6333,18.3667
Dunajská Streda,47.9961,17.6147
Vranov nad Topľou,48.8806,21.6731
Šaľa,48.1500,17.8833
Hlohovec,48.4311,17.8031
Brezno,48.8036,19.6381
Senica,48.6806,17.3667
Nové Mesto nad Váhom,48.7833,17.8333
Snina,48.9881,22.1567
Senec,48.2189,17.3997
Rožňava,48.6586,20.5314
Žiar nad Hronom,48.5919,18.8533
Dolný Kubín,49.2117,19.2992
Bánovce nad Bebravou,48.7186,18.2581
Púchov,49.1200,18.3306
Malacky,48.4381,17.0236
Handlová,48.7272,18.7619
Kežmarok,49.1383,20.4292
Stará Ľubovňa,49.3167,20.6833
Sered’,48.2833,17.7333
Kysucké Nové Mesto,49.3000,18.7833
Galanta,48.1914,17.7308
Skalica,48.8436,17.2264
Levoča,49.0228,20.5906
Detva,48.5572,19.4208
Šamorín,48.0267,17.3117
Sabinov,49.1000,21.1000
Revúca,48.6833,20.1167
Veľký Krtíš,48.2150,19.3381
Myjava,48.7578,17.5686
Zlaté Moravce,48.3781,18.3964
Stupava,48.2833,17.0333
Bytča,49.2228,18.5581
Moldava nad Bodvou,48.6156,20.9992
Holíč,48.8119,17.1628
Nová Dubnica,48.9333,18.1500
Svidník,49.3056,21.5678
Fiľakovo,48.2719,19.8286
Stropkov,49.2050,21.6514
Kolárovo,47.9153,17.9972
Štúrovo,47.7992,18.7181
Banská Štiavnica,48.4586,18.8931
